,mnist,musk,optdigits,pendigits,satimage-2
KNN,0.873,1.0,0.425,0.937,0.999
AvgKNN,0.866,0.985,0.384,0.881,0.997
MedKNN,0.868,0.983,0.378,0.869,0.995
PCA,0.851,1.0,0.516,0.938,0.99
MCD,0.857,1.0,0.379,0.838,0.996
HBOS,0.546,1.0,0.878,0.912,0.988
ABOD,0.842,0.196,0.455,0.772,0.958
FeatureBagging,0.708,0.634,0.512,0.515,0.465
One-class SVM (OCSVM),0.8777200000000001,1.0,0.6034200000000001,0.9643,0.99636
Local Outlier Factor (LOF),0.93652,1.0,0.91218,0.97948,0.99702
Isolation Forest,0.8655199999999998,0.98884,0.84948,0.97602,0.99244
AutoEncoder,0.9032599999999998,1.0,0.5681999999999999,0.94272,0.97804
DeepSVDD,0.7120200000000001,1.0,0.52062,0.40054,0.5118400000000001
